servidor,ip,dominio,status,rcode,ips_retornados,rtt_ms,erro
"Cloudflare Secund.","1.0.0.1","bet365.com","OK","0","5.226.179.10","36",""
"Quad9 Sem Filtro","9.9.9.10","bet365.com","OK","0","5.226.179.10","37",""
"Cloudflare","1.1.1.1","bet365.com","OK","0","5.226.179.10","37",""
"AdGuard","94.140.14.14","bet365.com","OK","0","5.226.179.10","36",""
"Quad9","9.9.9.9","bet365.com","OK","0","5.226.179.10","36",""
"Google","8.8.8.8","bet365.com","OK","0","5.226.179.10","37",""
"AdGuard Family","94.140.14.15","bet365.com","OK","0","5.226.179.10","36",""
"Google Secundário","8.8.4.4","bet365.com","OK","0","5.226.179.10","37",""
"CleanBrowsing Fam.","185.228.168.168","bet365.com","OK","0","5.226.179.10","36",""
"CleanBrowsing Seg.","185.228.168.9","bet365.com","OK","0","5.226.179.10","36",""
"Cloudflare Family","1.1.1.3","bet365.com","OK","0","5.226.179.10","36",""
"OpenDNS","208.67.222.222","bet365.com","OK","0","5.226.179.10","37",""
"Control D","76.76.2.0","bet365.com","OK","0","5.226.179.10","37",""
"OpenDNS Family","208.67.222.123","bet365.com","OK","0","5.226.179.10","51",""
"Verisign","64.6.64.6","bet365.com","OK","0","5.226.179.10","131",""
"Level3","4.2.2.2","bet365.com","OK","0","5.226.179.10","134",""
"OpenNIC","94.247.43.254","bet365.com","OK","0","5.226.179.10","212",""
"Comodo Secure","8.26.56.26","bet365.com","TIMEOUT","","","","timeout"
