servidor,ip,dominio,status,rcode,ips_retornados,rtt_ms,erro
"CleanBrowsing Seg.","185.228.168.9","internetbadguys.com","NXDOMAIN","3","","35",""
"Control D","76.76.2.0","internetbadguys.com","OK","0","146.112.59.12","36",""
"CleanBrowsing Fam.","185.228.168.168","internetbadguys.com","NXDOMAIN","3","","41",""
"OpenDNS Family","208.67.222.123","internetbadguys.com","REDIRECIONADO","0","146.112.61.108","42",""
"OpenDNS","208.67.222.222","internetbadguys.com","REDIRECIONADO","0","146.112.61.108","43",""
"Cloudflare","1.1.1.1","internetbadguys.com","OK","0","146.112.59.12","56",""
"Cloudflare Secund.","1.0.0.1","internetbadguys.com","OK","0","146.112.59.12","57",""
"Cloudflare Family","1.1.1.3","internetbadguys.com","OK","0","146.112.59.12","57",""
"Quad9","9.9.9.9","internetbadguys.com","OK","0","146.112.59.12","61",""
"Quad9 Sem Filtro","9.9.9.10","internetbadguys.com","OK","0","146.112.59.12","61",""
"Level3","4.2.2.2","internetbadguys.com","OK","0","146.112.59.12","161",""
"Google Secundário","8.8.4.4","internetbadguys.com","OK","0","146.112.59.12","165",""
"Google","8.8.8.8","internetbadguys.com","OK","0","146.112.59.12","166",""
"OpenNIC","94.247.43.254","internetbadguys.com","OK","0","146.112.59.12","222",""
"Verisign","64.6.64.6","internetbadguys.com","OK","0","146.112.59.12","251",""
"AdGuard","94.140.14.14","internetbadguys.com","OK","0","146.112.59.12","534",""
"AdGuard Family","94.140.14.15","internetbadguys.com","OK","0","146.112.59.12","535",""
"Comodo Secure","8.26.56.26","internetbadguys.com","TIMEOUT","","","","timeout"
