servidor,ip,dominio,status,rcode,ips_retornados,rtt_ms,erro
"Verisign","64.6.64.6","polymarket.com","OK","0","64.239.109.1","38",""
"CleanBrowsing Seg.","185.228.168.9","polymarket.com","OK","0","64.239.109.1","39",""
"Cloudflare","1.1.1.1","polymarket.com","OK","0","64.239.109.1","40",""
"Cloudflare Secund.","1.0.0.1","polymarket.com","OK","0","64.239.109.1","40",""
"Google","8.8.8.8","polymarket.com","OK","0","64.239.109.1","41",""
"AdGuard","94.140.14.14","polymarket.com","OK","0","64.239.109.1","39",""
"CleanBrowsing Fam.","185.228.168.168","polymarket.com","OK","0","64.239.109.1","39",""
"Quad9 Sem Filtro","9.9.9.10","polymarket.com","OK","0","64.239.109.1","39",""
"Cloudflare Family","1.1.1.3","polymarket.com","OK","0","64.239.109.1","40",""
"Google Secundário","8.8.4.4","polymarket.com","OK","0","64.239.109.1","42",""
"Control D","76.76.2.0","polymarket.com","OK","0","64.239.109.1","40",""
"Quad9","9.9.9.9","polymarket.com","OK","0","64.239.109.1","40",""
"OpenDNS Family","208.67.222.123","polymarket.com","OK","0","64.239.109.1","42",""
"OpenDNS","208.67.222.222","polymarket.com","OK","0","64.239.109.1","42",""
"AdGuard Family","94.140.14.15","polymarket.com","OK","0","64.239.109.1","120",""
"Level3","4.2.2.2","polymarket.com","OK","0","64.239.109.1","134",""
"OpenNIC","94.247.43.254","polymarket.com","OK","0","64.239.109.1","220",""
"Comodo Secure","8.26.56.26","polymarket.com","TIMEOUT","","","","timeout"
