servidor,ip,dominio,status,rcode,ips_retornados,rtt_ms,erro
"Google Secundário","8.8.4.4","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","37",""
"Cloudflare","1.1.1.1","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","37",""
"Google","8.8.8.8","thepiratebay.org","OK","0","162.159.136.6|162.159.137.6","37",""
"Cloudflare Secund.","1.0.0.1","thepiratebay.org","OK","0","162.159.136.6|162.159.137.6","37",""
"AdGuard Family","94.140.14.15","thepiratebay.org","OK","0","162.159.136.6|162.159.137.6","36",""
"CleanBrowsing Fam.","185.228.168.168","thepiratebay.org","NXDOMAIN","3","","36",""
"CleanBrowsing Seg.","185.228.168.9","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","38",""
"Control D","76.76.2.0","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","38",""
"AdGuard","94.140.14.14","thepiratebay.org","OK","0","162.159.136.6|162.159.137.6","37",""
"Cloudflare Family","1.1.1.3","thepiratebay.org","ROTA_NULA","0","0.0.0.0","37",""
"OpenDNS Family","208.67.222.123","thepiratebay.org","OK","0","162.159.136.6|162.159.137.6","46",""
"OpenDNS","208.67.222.222","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","48",""
"Quad9 Sem Filtro","9.9.9.10","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","55",""
"Level3","4.2.2.2","thepiratebay.org","OK","0","162.159.136.6|162.159.137.6","133",""
"Verisign","64.6.64.6","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","140",""
"Quad9","9.9.9.9","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","166",""
"OpenNIC","94.247.43.254","thepiratebay.org","OK","0","162.159.137.6|162.159.136.6","218",""
"Comodo Secure","8.26.56.26","thepiratebay.org","TIMEOUT","","","","timeout"
