servidor,ip,dominio,status,rcode,ips_retornados,rtt_ms,erro
"AdGuard","94.140.14.14","tinder.com","OK","0","52.84.150.55|52.84.150.54|52.84.150.60|52.84.150.39","32",""
"CleanBrowsing Fam.","185.228.168.168","tinder.com","NXDOMAIN","3","","32",""
"Cloudflare","1.1.1.1","tinder.com","OK","0","52.84.150.55|52.84.150.39|52.84.150.54|52.84.150.60","33",""
"AdGuard Family","94.140.14.15","tinder.com","REDIRECIONADO","0","94.140.14.35","33",""
"Cloudflare Secund.","1.0.0.1","tinder.com","OK","0","52.84.150.60|52.84.150.55|52.84.150.54|52.84.150.39","33",""
"Google","8.8.8.8","tinder.com","OK","0","52.84.150.60|52.84.150.54|52.84.150.39|52.84.150.55","34",""
"CleanBrowsing Seg.","185.228.168.9","tinder.com","OK","0","52.84.150.39|52.84.150.54|52.84.150.55|52.84.150.60","33",""
"Cloudflare Family","1.1.1.3","tinder.com","OK","0","52.84.150.60|52.84.150.55|52.84.150.54|52.84.150.39","41",""
"Google Secundário","8.8.4.4","tinder.com","OK","0","52.84.150.60|52.84.150.39|52.84.150.55|52.84.150.54","42",""
"Control D","76.76.2.0","tinder.com","OK","0","52.84.150.60|52.84.150.54|52.84.150.55|52.84.150.39","41",""
"Quad9","9.9.9.9","tinder.com","OK","0","52.84.150.54|52.84.150.39|52.84.150.60|52.84.150.55","42",""
"Verisign","64.6.64.6","tinder.com","OK","0","52.84.150.39|52.84.150.60|52.84.150.55|52.84.150.54","47",""
"Quad9 Sem Filtro","9.9.9.10","tinder.com","OK","0","52.84.150.39|52.84.150.55|52.84.150.54|52.84.150.60","53",""
"OpenDNS Family","208.67.222.123","tinder.com","OK","0","52.84.150.55|52.84.150.60|52.84.150.39|52.84.150.54","56",""
"OpenDNS","208.67.222.222","tinder.com","OK","0","52.84.150.54|52.84.150.55|52.84.150.60|52.84.150.39","57",""
"Level3","4.2.2.2","tinder.com","OK","0","52.84.150.54|52.84.150.39|52.84.150.60|52.84.150.55","135",""
"OpenNIC","94.247.43.254","tinder.com","OK","0","52.84.150.39|52.84.150.55|52.84.150.54|52.84.150.60","223",""
"Comodo Secure","8.26.56.26","tinder.com","TIMEOUT","","","","timeout"
