servidor,ip,dominio,status,rcode,ips_retornados,rtt_ms,erro
"Verisign","64.6.64.6","www.example.com","OK","0","104.20.23.154|172.66.147.243","28",""
"Cloudflare Secund.","1.0.0.1","www.example.com","OK","0","172.66.147.243|104.20.23.154","33",""
"CleanBrowsing Fam.","185.228.168.168","www.example.com","OK","0","104.20.23.154|172.66.147.243","33",""
"AdGuard","94.140.14.14","www.example.com","OK","0","104.20.23.154|172.66.147.243","33",""
"Quad9","9.9.9.9","www.example.com","OK","0","172.66.147.243|104.20.23.154","33",""
"Google","8.8.8.8","www.example.com","OK","0","104.20.23.154|172.66.147.243","35",""
"Quad9 Sem Filtro","9.9.9.10","www.example.com","OK","0","104.20.23.154|172.66.147.243","34",""
"Cloudflare","1.1.1.1","www.example.com","OK","0","172.66.147.243|104.20.23.154","34",""
"AdGuard Family","94.140.14.15","www.example.com","OK","0","104.20.23.154|172.66.147.243","33",""
"CleanBrowsing Seg.","185.228.168.9","www.example.com","OK","0","172.66.147.243|104.20.23.154","33",""
"Google Secundário","8.8.4.4","www.example.com","OK","0","104.20.23.154|172.66.147.243","36",""
"Cloudflare Family","1.1.1.3","www.example.com","OK","0","172.66.147.243|104.20.23.154","35",""
"Control D","76.76.2.0","www.example.com","OK","0","172.66.147.243|104.20.23.154","36",""
"OpenDNS","208.67.222.222","www.example.com","OK","0","104.20.23.154|172.66.147.243","41",""
"OpenDNS Family","208.67.222.123","www.example.com","OK","0","104.20.23.154|172.66.147.243","42",""
"Level3","4.2.2.2","www.example.com","OK","0","172.66.147.243|104.20.23.154","135",""
"OpenNIC","94.247.43.254","www.example.com","OK","0","172.66.147.243|104.20.23.154","211",""
"Comodo Secure","8.26.56.26","www.example.com","TIMEOUT","","","","timeout"
