servidor,ip,dominio,status,rcode,ips_retornados,rtt_ms,erro
"Verisign","64.6.64.6","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","32",""
"Cloudflare Secund.","1.0.0.1","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","33",""
"Google Secundário","8.8.4.4","www.pucrs.br","OK","0","104.18.21.134|104.18.20.134","33",""
"Google","8.8.8.8","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","34",""
"Quad9 Sem Filtro","9.9.9.10","www.pucrs.br","OK","0","104.18.21.134|104.18.20.134","33",""
"Cloudflare","1.1.1.1","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","34",""
"CleanBrowsing Fam.","185.228.168.168","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","34",""
"Cloudflare Family","1.1.1.3","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","35",""
"Control D","76.76.2.0","www.pucrs.br","OK","0","104.18.21.134|104.18.20.134","36",""
"CleanBrowsing Seg.","185.228.168.9","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","37",""
"Quad9","9.9.9.9","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","37",""
"OpenDNS Family","208.67.222.123","www.pucrs.br","OK","0","104.18.21.134|104.18.20.134","42",""
"OpenDNS","208.67.222.222","www.pucrs.br","OK","0","104.18.21.134|104.18.20.134","45",""
"AdGuard","94.140.14.14","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","77",""
"AdGuard Family","94.140.14.15","www.pucrs.br","OK","0","104.18.21.134|104.18.20.134","118",""
"Level3","4.2.2.2","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","136",""
"OpenNIC","94.247.43.254","www.pucrs.br","OK","0","104.18.21.134|104.18.20.134","224",""
"Comodo Secure","8.26.56.26","www.pucrs.br","OK","0","104.18.20.134|104.18.21.134","267",""
