servidor,ip,dominio,status,rcode,ips_retornados,rtt_ms,erro
"Google","8.8.8.8","xvideos.com","OK","0","89.222.127.5|89.222.127.11|89.222.127.8|89.222.127.9|89.222.127.12|89.222.127.6|89.222.127.15|89.222.127.2|89.222.127.10|89.222.127.1|89.222.127.3|89.222.127.4|89.222.127.14|89.222.127.7|89.222.127.13","30",""
"Verisign","64.6.64.6","xvideos.com","OK","0","89.222.127.15|89.222.127.1|89.222.127.2|89.222.127.9|89.222.127.11|89.222.127.12|89.222.127.3|89.222.127.4|89.222.127.5|89.222.127.8|89.222.127.10|89.222.127.7|89.222.127.13|89.222.127.14|89.222.127.6","30",""
"AdGuard","94.140.14.14","xvideos.com","OK","0","89.222.127.13|89.222.127.7|89.222.127.2|89.222.127.5|89.222.127.9|89.222.127.6|89.222.127.3|89.222.127.8|89.222.127.10|89.222.127.12|89.222.127.15|89.222.127.14|89.222.127.1|89.222.127.11|89.222.127.4","33",""
"Quad9","9.9.9.9","xvideos.com","OK","0","89.222.127.5|89.222.127.13|89.222.127.14|89.222.127.9|89.222.127.1|89.222.127.8|89.222.127.11|89.222.127.4|89.222.127.2|89.222.127.6|89.222.127.7|89.222.127.12|89.222.127.15|89.222.127.10|89.222.127.3","34",""
"Quad9 Sem Filtro","9.9.9.10","xvideos.com","OK","0","89.222.127.13|89.222.127.14|89.222.127.9|89.222.127.1|89.222.127.8|89.222.127.11|89.222.127.4|89.222.127.2|89.222.127.6|89.222.127.7|89.222.127.12|89.222.127.15|89.222.127.10|89.222.127.3|89.222.127.5","34",""
"CleanBrowsing Seg.","185.228.168.9","xvideos.com","OK","0","89.222.127.8|89.222.127.3|89.222.127.7|89.222.127.1|89.222.127.14|89.222.127.10|89.222.127.2|89.222.127.11|89.222.127.15|89.222.127.6|89.222.127.5|89.222.127.4|89.222.127.9|89.222.127.13|89.222.127.12","34",""
"Google Secundário","8.8.4.4","xvideos.com","OK","0","89.222.127.2|89.222.127.11|89.222.127.10|89.222.127.12|89.222.127.6|89.222.127.9|89.222.127.13|89.222.127.3|89.222.127.1|89.222.127.15|89.222.127.4|89.222.127.8|89.222.127.14|89.222.127.7|89.222.127.5","35",""
"Cloudflare Secund.","1.0.0.1","xvideos.com","OK","0","89.222.127.1|89.222.127.15|89.222.127.14|89.222.127.12|89.222.127.10|89.222.127.5|89.222.127.7|89.222.127.13|89.222.127.4|89.222.127.3|89.222.127.8|89.222.127.9|89.222.127.6|89.222.127.11|89.222.127.2","37",""
"AdGuard Family","94.140.14.15","xvideos.com","REDIRECIONADO","0","94.140.14.35","37",""
"Cloudflare","1.1.1.1","xvideos.com","OK","0","89.222.127.15|89.222.127.2|89.222.127.10|89.222.127.4|89.222.127.5|89.222.127.12|89.222.127.1|89.222.127.8|89.222.127.9|89.222.127.3|89.222.127.11|89.222.127.14|89.222.127.13|89.222.127.6|89.222.127.7","37",""
"CleanBrowsing Fam.","185.228.168.168","xvideos.com","NXDOMAIN","3","","37",""
"Control D","76.76.2.0","xvideos.com","OK","0","89.222.127.4|89.222.127.7|89.222.127.1|89.222.127.10|89.222.127.14|89.222.127.12|89.222.127.11|89.222.127.3|89.222.127.8|89.222.127.9|89.222.127.2|89.222.127.13|89.222.127.5|89.222.127.6|89.222.127.15","37",""
"Cloudflare Family","1.1.1.3","xvideos.com","ROTA_NULA","0","0.0.0.0","40",""
"OpenDNS Family","208.67.222.123","xvideos.com","REDIRECIONADO","0","146.112.61.106","45",""
"OpenDNS","208.67.222.222","xvideos.com","OK","0","89.222.127.1|89.222.127.2|89.222.127.3|89.222.127.4|89.222.127.5|89.222.127.6|89.222.127.7|89.222.127.8|89.222.127.9|89.222.127.10|89.222.127.11|89.222.127.12|89.222.127.13|89.222.127.14|89.222.127.15","46",""
"Level3","4.2.2.2","xvideos.com","OK","0","89.222.127.13|89.222.127.14|89.222.127.3|89.222.127.1|89.222.127.11|89.222.127.2|89.222.127.9|89.222.127.5|89.222.127.4|89.222.127.10|89.222.127.8|89.222.127.7|89.222.127.15|89.222.127.6|89.222.127.12","140",""
"OpenNIC","94.247.43.254","xvideos.com","OK","0","89.222.127.12|89.222.127.2|89.222.127.11|89.222.127.6|89.222.127.13|89.222.127.1|89.222.127.9|89.222.127.10|89.222.127.7|89.222.127.4|89.222.127.8|89.222.127.14|89.222.127.15|89.222.127.3|89.222.127.5","217",""
"Comodo Secure","8.26.56.26","xvideos.com","OK","0","89.222.127.2|89.222.127.12|89.222.127.6|89.222.127.14|89.222.127.13|89.222.127.1|89.222.127.8|89.222.127.10|89.222.127.3|89.222.127.4|89.222.127.9|89.222.127.7|89.222.127.11|89.222.127.5|89.222.127.15","225",""
